timestamp,device_id,rack_location,cpu_utilization,memory_usage,disk_io,temperature,network_traffic,power_usage,status
2025-02-16 07:25:04.158842,SRV-001,RACK-C,51.5,54.7,301.0,27.1,50.0,409.0,normal
2025-02-16 07:25:04.158842,SRV-002,RACK-A,54.0,53.3,279.0,27.3,56.0,387.1,normal
2025-02-16 07:25:04.158842,SRV-003,RACK-C,36.8,54.1,269.0,25.6,408.0,380.8,normal
2025-02-16 07:25:04.158842,SRV-004,RACK-C,48.5,51.5,306.0,26.8,68.0,394.1,normal
2025-02-16 07:25:04.158842,SRV-005,RACK-B,47.0,48.3,310.0,26.6,83.0,355.5,normal
2025-02-16 07:26:04.158842,SRV-001,RACK-C,43.8,56.9,298.0,26.3,137.0,349.8,normal
2025-02-16 07:26:04.158842,SRV-002,RACK-C,46.7,59.3,299.0,26.6,50.0,404.5,normal
2025-02-16 07:26:04.158842,SRV-003,RACK-A,53.4,59.5,304.0,27.3,59.0,412.3,normal
2025-02-16 07:26:04.158842,SRV-004,RACK-A,48.1,52.4,309.0,26.7,63.0,407.9,normal
2025-02-16 07:26:04.158842,SRV-005,RACK-A,45.8,49.8,272.0,26.5,226.0,360.6,normal
2025-02-16 07:27:04.158842,SRV-001,RACK-B,49.4,44.9,283.0,26.9,50.0,386.1,normal
2025-02-16 07:27:04.158842,SRV-002,RACK-B,46.8,46.7,271.0,26.6,53.0,397.0,normal
2025-02-16 07:27:04.158842,SRV-003,RACK-C,55.8,57.6,287.0,27.5,55.0,411.1,normal
2025-02-16 07:27:04.158842,SRV-004,RACK-A,50.3,48.5,306.0,27.0,50.0,462.4,normal
2025-02-16 07:27:04.158842,SRV-005,RACK-C,45.7,53.0,283.0,26.5,50.0,381.5,normal
2025-02-16 07:28:04.158842,SRV-001,RACK-C,50.7,54.2,276.0,27.0,50.0,395.4,normal
2025-02-16 07:28:04.158842,SRV-002,RACK-A,45.1,57.4,290.0,26.4,76.0,365.4,normal
2025-02-16 07:28:04.158842,SRV-003,RACK-A,46.1,48.4,307.0,26.5,50.0,382.1,normal
2025-02-16 07:28:04.158842,SRV-004,RACK-B,44.4,61.1,275.0,26.4,258.0,369.1,normal
2025-02-16 07:28:04.158842,SRV-005,RACK-C,51.8,47.0,299.0,27.1,50.0,405.4,normal
2025-02-16 07:29:04.158842,SRV-001,RACK-C,51.6,57.0,312.0,27.1,50.0,413.7,normal
2025-02-16 07:29:04.158842,SRV-002,RACK-A,53.2,51.0,296.0,27.3,50.0,382.6,normal
2025-02-16 07:29:04.158842,SRV-003,RACK-B,42.3,52.6,309.0,26.2,78.0,434.6,normal
2025-02-16 07:29:04.158842,SRV-004,RACK-C,49.7,54.5,309.0,26.9,69.0,417.2,normal
2025-02-16 07:29:04.158842,SRV-005,RACK-A,41.9,52.4,285.0,26.1,50.0,371.9,normal
2025-02-16 07:30:04.158842,SRV-001,RACK-C,52.5,58.8,300.0,27.2,50.0,366.2,normal
2025-02-16 07:30:04.158842,SRV-002,RACK-C,48.4,45.8,291.0,26.8,50.0,405.0,normal
2025-02-16 07:30:04.158842,SRV-003,RACK-A,43.6,58.4,309.0,26.3,50.0,392.7,normal
2025-02-16 07:30:04.158842,SRV-004,RACK-B,45.6,45.2,302.0,38.0,50.0,389.0,warning
2025-02-16 07:30:04.158842,SRV-005,RACK-C,45.5,47.9,269.0,26.5,62.0,345.6,normal
2025-02-16 07:31:04.158842,SRV-001,RACK-B,46.9,57.1,286.0,26.6,175.0,411.0,normal
2025-02-16 07:31:04.158842,SRV-002,RACK-C,48.2,61.3,287.0,26.8,57.0,406.5,normal
2025-02-16 07:31:04.158842,SRV-003,RACK-B,45.3,50.7,293.0,26.5,246.0,356.2,normal
2025-02-16 07:31:04.158842,SRV-004,RACK-C,47.3,47.9,299.0,26.7,50.0,412.4,normal
2025-02-16 07:31:04.158842,SRV-005,RACK-A,47.8,63.7,296.0,26.7,56.0,426.2,normal
2025-02-16 07:32:04.158842,SRV-001,RACK-B,41.8,52.6,298.0,26.1,288.0,397.8,normal
